dialogue,글자수
"오랜만이야, 잘 지냈어? 그냥 그런 하루였어. 맞아, 나도 비슷해. 쿠폰 있으면 같이 쓰자. 연락줘! 출근길 진짜 힘들다. 헉, 진짜? 비 오면 또 달라지려나. 오늘도 파이팅하자. 요즘 날씨 진짜 이상하지? 일이 조금 많았어. 완전 공감해. 다음에 같이 가자. 조만간 보자. 저녁 메뉴 뭐가 좋을까? 일이 조금 많았어. 대박이다. 내일은 좀 쉬어야겠다. 나중에 이야기 더 하자.",211
"카페에서 공부 중이야. 헉, 진짜? 사진 있으면 보내줘. 오늘도 파이팅하자. 오랜만이야, 잘 지냈어? 맞아, 나도 비슷해. 사진 있으면 보내줘. 연락줘! 카페에서 공부 중이야. 생각보다 바빴어. 헉, 진짜? 내일은 좀 쉬어야겠다. 오늘도 파이팅하자. 오랜만이야, 잘 지냈어? 그냥 그런 하루였어. 헉, 진짜? 시간 괜찮으면 알려줘. 오늘도 파이팅하자.",196
"카페에서 공부 중이야. 조용히 쉬었어. 아 그렇구나. 시간 괜찮으면 알려줘. 슬슬 쉬어야겠다. 점심 먹었어? 완전 공감해. 쿠폰 있으면 같이 쓰자. 알겠어, 고마워! 운동 다녀왔어. 시간이 너무 빨리 간다. 음, 좀 고민되네. 생각보다 괜찮더라. 슬슬 쉬어야겠다. 어제 그 드라마 봤어? 생각보다 바빴어. 대박이다. 생각보다 괜찮더라. 알겠어, 고마워!",197
"주말에 뭐할 계획이야? 일이 조금 많았어. 그럴 줄 알았어. 비 오면 또 달라지려나. 내일 봐. 오랜만이야, 잘 지냈어? 맞아, 나도 비슷해. 내일은 좀 쉬어야겠다. 슬슬 쉬어야겠다. 저녁 메뉴 뭐가 좋을까? 대박이다. 비 오면 또 달라지려나. 오늘도 파이팅하자. 오랜만이야, 잘 지냈어? 일이 조금 많았어. 음, 좀 고민되네. 사진 있으면 보내줘. 알겠어, 고마워! 오랜만이야, 잘 지냈어? 요즘 좀 피곤하네. 대박이다. 시간 괜찮으면 알려줘. 좋은 하루 보내!",259
"운동 다녀왔어. 그럴 줄 알았어. 시간 괜찮으면 알려줘. 좋은 하루 보내! 카페에서 공부 중이야. 그냥 그런 하루였어. 대박이다. 비 오면 또 달라지려나. 슬슬 쉬어야겠다. 주말에 뭐할 계획이야? 음, 좀 고민되네. 근데 그거 어디서 봤어? 좋은 하루 보내! 운동 다녀왔어. 일이 조금 많았어. 맞아, 나도 비슷해. 내일은 좀 쉬어야겠다. 오늘도 파이팅하자. 운동 다녀왔어. 별일은 없었어. 그럴 줄 알았어. 시간 괜찮으면 알려줘. 오늘도 파이팅하자.",252
"오늘 뭐 했어? 요즘 좀 피곤하네. 완전 공감해. 비 오면 또 달라지려나. 조만간 보자. 어제 그 드라마 봤어? 헉, 진짜? 비 오면 또 달라지려나. 연락줘! 운동 다녀왔어. 대박이다. 생각보다 괜찮더라. 좋은 하루 보내! 오늘 뭐 했어? 그럴 줄 알았어. 사진 있으면 보내줘. 슬슬 쉬어야겠다.",165
"출근길 진짜 힘들다. 요즘 좀 피곤하네. 헉, 진짜? 다음에 같이 가자. 조만간 보자. 요즘 날씨 진짜 이상하지? 완전 공감해. 다음에 같이 가자. 좋은 하루 보내! 점심 먹었어? 생각보다 바빴어. 음, 좀 고민되네. 생각보다 괜찮더라. 오늘도 파이팅하자. 오늘 뭐 했어? 아 그렇구나. 쿠폰 있으면 같이 쓰자. 좋은 하루 보내! 점심 먹었어? 완전 공감해. 근데 그거 어디서 봤어? 좋은 하루 보내!",224
"출근길 진짜 힘들다. 조용히 쉬었어. 대박이다. 비 오면 또 달라지려나. 알겠어, 고마워! 오늘 뭐 했어? 헉, 진짜? 시간 괜찮으면 알려줘. 좋은 하루 보내! 출근길 진짜 힘들다. 생각보다 바빴어. 그럴 줄 알았어. 비 오면 또 달라지려나. 연락줘! 카페에서 공부 중이야. 그럴 줄 알았어. 비 오면 또 달라지려나. 슬슬 쉬어야겠다. 요즘 날씨 진짜 이상하지? 헉, 진짜? 시간 괜찮으면 알려줘. 연락줘! 점심 먹었어? 음, 좀 고민되네. 생각보다 괜찮더라. 내일 봐.",263
"운동 다녀왔어. 일이 조금 많았어. 그럴 줄 알았어. 사진 있으면 보내줘. 나중에 이야기 더 하자. 점심 먹었어? 조용히 쉬었어. 음, 좀 고민되네. 시간 괜찮으면 알려줘. 연락줘! 점심 먹었어? 생각보다 바빴어. 대박이다. 생각보다 괜찮더라. 알겠어, 고마워! 어제 그 드라마 봤어? 조용히 쉬었어. 헉, 진짜? 비 오면 또 달라지려나. 내일 봐.",195
"출근길 진짜 힘들다. 일이 조금 많았어. 오, 괜찮네. 쿠폰 있으면 같이 쓰자. 연락줘! 운동 다녀왔어. 오, 괜찮네. 다음에 같이 가자. 연락줘! 오늘 뭐 했어? 완전 공감해. 쿠폰 있으면 같이 쓰자. 연락줘! 점심 먹었어? 그냥 그런 하루였어. 헉, 진짜? 시간 괜찮으면 알려줘. 알겠어, 고마워!",168
"주말에 뭐할 계획이야? 대박이다. 시간 괜찮으면 알려줘. 알겠어, 고마워! 점심 먹었어? 요즘 좀 피곤하네. 그럴 줄 알았어. 내일은 좀 쉬어야겠다. 조만간 보자. 카페에서 공부 중이야. 별일은 없었어. 완전 공감해. 생각보다 괜찮더라. 내일 봐. 점심 먹었어? 오, 괜찮네. 쿠폰 있으면 같이 쓰자. 연락줘! 카페에서 공부 중이야. 완전 공감해. 사진 있으면 보내줘. 슬슬 쉬어야겠다.",216
"출근길 진짜 힘들다. 조용히 쉬었어. 아 그렇구나. 사진 있으면 보내줘. 내일 봐. 운동 다녀왔어. 오, 괜찮네. 다음에 같이 가자. 연락줘! 주말에 뭐할 계획이야? 조용히 쉬었어. 음, 좀 고민되네. 비 오면 또 달라지려나. 나중에 이야기 더 하자. 운동 다녀왔어. 그럴 줄 알았어. 다음에 같이 가자. 좋은 하루 보내!",180
"운동 다녀왔어. 음, 좀 고민되네. 비 오면 또 달라지려나. 오늘도 파이팅하자. 어제 그 드라마 봤어? 요즘 좀 피곤하네. 오, 괜찮네. 비 오면 또 달라지려나. 알겠어, 고마워! 출근길 진짜 힘들다. 요즘 좀 피곤하네. 오, 괜찮네. 근데 그거 어디서 봤어? 슬슬 쉬어야겠다.",155
"점심 먹었어? 대박이다. 사진 있으면 보내줘. 내일 봐. 어제 그 드라마 봤어? 대박이다. 근데 그거 어디서 봤어? 조만간 보자. 카페에서 공부 중이야. 아 그렇구나. 비 오면 또 달라지려나. 내일 봐. 저녁 메뉴 뭐가 좋을까? 완전 공감해. 내일은 좀 쉬어야겠다. 내일 봐. 오랜만이야, 잘 지냈어? 시간이 너무 빨리 간다. 아 그렇구나. 내일은 좀 쉬어야겠다. 내일 봐.",209
"주말에 뭐할 계획이야? 완전 공감해. 생각보다 괜찮더라. 조만간 보자. 운동 다녀왔어. 요즘 좀 피곤하네. 음, 좀 고민되네. 쿠폰 있으면 같이 쓰자. 내일 봐. 카페에서 공부 중이야. 별일은 없었어. 대박이다. 다음에 같이 가자. 알겠어, 고마워! 오랜만이야, 잘 지냈어? 아 그렇구나. 다음에 같이 가자. 오늘도 파이팅하자.",183
"오늘 날씨 정말 좋다
그치? 나들이 가기 딱 좋은 날씨네
어디로 놀러갈까?
한강공원 어때? 자전거도 타고
좋아! 거기서 피크닉 하자
나 삼겹살 먹고 싶은데
그래 거기서 구워먹을까?
응, 야외에서 구워먹으면 맛있겠다
몇 시에 만날까?
1시쯤은 어때? 점심 먹고 나가자
알겠어. 그럼 1시에 한강공원 역 앞에서 보자",174
"이번 주말에 영화 보러 갈래?
좋아! 무슨 영화 볼까?
최근에 개봉한 그 로맨스 영화 괜찮다고 들었어
아, 그거 나도 보고 싶었어
그럼 토요일 오후에 보는 걸로 예약할까?
오후 2시쯤이 좋을 것 같아
알겠어. 내가 표 예약해 놓을게
고마워! 그 전에 점심 먹고 갈까?
좋아, 영화관 근처에 새로 생긴 파스타 집에 가자
오, 좋다! 기대된다",189
"요즘 새로운 취미를 찾고 있어
무슨 취미?
등산이나 캠핑 같은야외 활동을 해보려고
좋은 생각이야! 나도 등산 좋아해
같이 갈래? 다음 주에
그래! 일요일에 출발하는 게 어때?
좋아. 준비물은 뭘 챙기면 돼?
등산화랑 배낭, 물 정도면 될 거야
알겠어. 장소는 어디로 정할까?
북한산으로 가자, 경치가 정말 아름다워",175
"점심 뭐 먹을까?
나 오늘은 한식이 땡기는데
된장찌개 어때?
좋아! 근처에 맛있는 집 알아?
길 건너에 새로 생긴 집 있는데 거기 가보자
그래, 메뉴가 다양할까?
한식 전문이라 다양한 반찬도 나온대
기대된다 빨리 가자",121
"너 요즘 어떤 음악 들어?
아이유 새 앨범 나왔는데 진짜 좋아
나도 들었어! 타이틀곡이 특히 좋더라
그치? 계속 반복해서 듣고 있어
다음에 콘서트 같이 갈까?
좋아! 표 예약해야지
내가 미리 알아볼게
고마워, 정말 기대된다",124
"주말에 뭐 할 계획이야?
친구들이랑 집들이 가기로 했어
오, 재밌겠다! 어디로 가?
수원에 있는 친구 새 집이야
선물은 뭐 사갈까?
식기나 집들이 선물 세트면 좋을 것 같아
같이 쇼핑하러 갈까?
그래! 내일 오후에 만나자",123
"오늘 저녁에 시간 있어?
응, 별일 없는데 무슨 일이야?
같이 공원에서 조깅하러 갈래?
좋은 생각이야! 운동할 겸 가자
몇 시쯤 만날까?
7시쯤이 좋을 것 같아
그럼 7시에 공원 입구에서 보자
알겠어, 준비하고 갈게",120
"너 커피 좋아하지?
응, 특히 아메리카노를 자주 마셔
나는 라떼 종류를 좋아하는데
어디 카페 추천해줄 만한 곳 있어?
학교 앞에 새로 생긴 카페 분위기 좋아
거기 가보고 싶다! 같이 갈래?
그래, 내일 오후에 만나자
좋아, 기대될라",129
"이번 여름휴가 계획 있어?
바다로 여행 가려고 생각 중이야
좋겠다! 어디로 갈 거야?
강릉이나 속초 쪽을 생각하고 있어
거기 진짜 예쁘더라
너도 같이 갈래?
나도 가고 싶다! 일정 조정해볼게
그래, 같이 계획 세우자",120
"요즘 책 읽고 있어?
응, 소설 한 권 재밌게 읽고 있는 중이야
무슨 책이야?
베스트셀러 된 그 미스터리 소설
나도 그 책 사봐야겠다
다 읽으면 빌려줄게
고마워, 다음에 너도 내 책 빌려줄게
좋아, 서로 추천해주자",119
"오늘 점심 같이 먹을래?
좋아! 뭐 먹을까?
중국음식 어때? 자장면 먹고 싶은데
나도 좋아! 근처에 좋은 집 있어?
옆 건물에 새로 생긴 중국집 괜찮대
그럼 거기 가보자
12시 30분에 만날까?
알겠어, 그때 봐",118
"주말에 영화보러 갈래?
무슨 영화 볼까?
최근에 개봉한 코미디 영화 괜찮대
좋아! 웃기겠다
토요일 오후 어떄?
좋아, 2시쯤 만나자
그럼 내가 표 미리 예약해놓을게
고마워, 기대된다",101
"날씨가 점점 따뜻해지네
그치? 봄이 오는 것 같아
꽃 구경하러 갈 만한 곳 없을까?
공원에 벚꽃이 예쁘게 피었대
주말에 같이 가보자
좋아! 피크닉도 할까?
그래, 간단한 도시락 챙겨가자
기대할게",108
"너 운동은 어떤 거 해?
요가를 시작했어, 재밌더라
좋겠다! 나도 해보고 싶었는데
같이 할래? 내가 다니는 곳 괜찮아
그래, 다음 주에 한번 가보자
수업 시간 알려줄게
고마워, 기대된다
함께하면 더 재밌을 거야",117
"점심 메뉴 추천해줘
오늘은 냉면 어때? 시원할 것 같아
좋은 생각이야! 어디 가면 좋을까?
골목에 오래된 냉면집 있는데 거기 맛있어
그럼 거기로 가자
12시에 만날까?
그래, 그때 봐
기대된다",107
"주말에 뭐 해?
집에서 쉬려고, 너는?
친구들이랑 약속이 있어
재밌겠다! 어디로 가?
카페에서 수다 떨다가 저녁 먹으러 갈 거야
좋은 주말 보내라
고마워, 너도 편히 쉬어
다음에 같이 만나자",106
"너 차 마셔?
응, 홍차를 특히 좋아해
나는 녹차를 자주 마시는 편이야
같이 티타임 할까?
좋아! 내일 오후 어때?
3시쯤이 좋을 것 같아
그럼 학교 앞 카페에서 만나자
알겠어, 기대될라",104
"이번 주 금요일 시간 있어?
응, 별일 없는데
같이 저녁 먹으러 갈래?
좋아! 무슨 음식 먹을까?
삼겹살 먹을까? 오랜만에
좋지! 어디로 갈까?
회사 근처에 맛있는 집 있어
그럼 거기로 가자",106
"날씨가 참 좋다
그치? 밖에 나가고 싶어져
점심 먹고 산책할까?
좋은 생각이야! 공원으로 갈까?
그래, 공기가 좋을 것 같아
1시쯤 만날까?
알겠어, 그때 봐
기대된다",93
"너 노래방 가는 거 좋아해?
응, 노래 부르는 거 재밌어
다음에 같이 갈래?
좋아! 언제 갈까?
금요일 저녁 어때?
좋지, 그때 만나자
그럼 장소 정해서 연락할게
알겠어, 기대된다",100
"오늘 저녁 뭐 먹을까?
나 오늘은 집에서 먹으려고
뭐 만들 거야?
간단하게 김치찌개 생각 중이야
맛있겠다! 나도 한번 해먹어야지
레시피 알려줄까?
고마워, 다음에 알려줘
그래, 도움되면 좋겠다",107
"주말에 계획 있어?
가족들이랑 여행 가기로 했어
좋겠다! 어디로 가?
제주도로 갈 생각이야
제주도 진짜 예쁘더라
맞아, 공기도 좋고
잘 다녀와, 사진 많이 찍어와
고마워, 돌아오면 이야기해줄게",107
"점심 먹고 커피 마실래?
좋아! 어디 카페 갈까?
건너편에 새로 생긴 카페 괜찮대
거기 한번 가보자
1시쯤 만날까?
알겠어, 그때 봐
기대된다
나도 기대할게",87
"너 독서모임 다니지?
응, 매주 토요일에 만나
재밌어? 어떤 책 읽어?
다양한 장르의 책을 읽고 이야기 나눠
나도 한번 참여해볼까?
좋아! 다음 주에 올래?
그래, 일정 확인해볼게
기다릴게",105
"오늘 날씨 참 맑다
그치? 기분이 좋아져
점심 먹고 바깥에 앉을까?
좋은 생각이야! 햇살도 따뜻해
공원 벤치에서 먹을까?
그래, 공기도 맑을 것 같아
12시 30분에 만나자
알겠어, 그때 봐",106
"너 영화 좋아해?
응, 특히 로맨스 영화를 좋아해
나는 액션 영화를 더 좋아하는데
다음에 같이 영화 보러 갈까?
좋아! 무슨 영화 볼래?
둘 다 재밌을 것 같은 걸로
그럼 최신 개봉작 중에 고르자
기대된다",114
"주말에 뭐 할 거야?
친구들이랑 캠핑 가기로 했어
좋겠다! 어디로 가?
산속에 있는 캠핑장으로 갈 거야
날씨도 좋을 것 같아
맞아, 별보기도 좋대
재밌게 놀다 와
고마워, 사진 많이 찍어올게",106
"너 요즘 무슨 음악 들어?
발라드 음악을 자주 듣고 있어
나도 발라드 좋아해
다음에 콘서트 같이 갈까?
좋아! 표 예약해야지
내가 알아볼게
고마워, 기대된다
나도 정말 기대돼",97
"주말에 시간 있어?
응, 별일 없는데
같이 등산 갈래?
좋아! 어디로 갈까?
근처 산으로 가자, 경치 좋대
몇 시에 만날까?
아침 일찍 7시쯤이 좋을 것 같아
알겠어, 그때 만나자",100
"오늘 저녁에 뭐 할까?
집에서 영화나 볼까?
좋은 생각이야! 무슨 영화 볼래?
최근에 인기 많은 그 영화
나도 그거 보고 싶었어
그럼 같이 보자
팝콘도 준비할까?
좋아! 완벽하겠다",100
"날씨가 참 좋네
그치? 봄기운이 느껴져
꽃구경하러 갈 만한 곳 없을까?
공원에 벚꽃이 예쁘게 피었대
주말에 같이 가보자
좋아! 사진도 찍자
그래, 추억도 남기고
기대된다",94
"점심 뭐 먹을래?
나 오늘은 국수 먹고 싶은데
좋아! 어디 갈까?
골목에 오래된 국수집 있는데 거기 맛있어
그럼 거기로 가자
12시 30분에 만날까?
알겠어, 그때 봐
기대된다",98
"주말에 계획 있어?
가족들이랑 소풍 가기로 했어
좋겠다! 어디로 가?
근처 공원으로 갈 거야
날씨도 좋을 것 같아
맞아, 나들이하기 딱이야
잘 다녀와
고마워, 다음에 같이 가자",98
"너 독서 좋아해?
응, 특히 소설을 좋아해
나도 요즘 책 읽기 시작했어
다음에 추천해줄 만한 책 있어?
최근에 읽은 책이 괜찮았어
그럼 다음에 빌려줘
좋아, 가져올게
고마워",96
"주말에 계획 있어?
친구들이랑 수영 가기로 했어
좋겠다! 어디로 가?
실내 수영장으로 갈 거야
날씨도 더울 것 같아
맞아, 시원하게 놀기 좋아
잘 놀다 와
고마워, 다음에 같이 가자",101
"주말에 계획 있어?
가족들이랑 박물관 가기로 했어
좋겠다! 어디로 가?
국립중앙박물관으로 갈 생각이야
거기 진짜 좋더라
맞아, 문화체험하기 좋아
잘 다녀와
고마워, 돌아오면 이야기해줄게",103
"오늘 저녁에 뭐 할까?
집에서 음악이나 들을까?
좋은 생각이야! 무슨 음악 들을래?
최근에 나온 새 앨범
나도 그거 듣고 싶었어
그럼 같이 들자
차도 마실까?
좋아! 분위기 내자",99
"날씨가 참 좋네
그치? 가을이 왔나 봐
단풍구경하러 갈 만한 곳 없을까?
산에 단풍이 예쁘게 물들었대
주말에 같이 가보자
좋아! 등산도 하고
그래, 운동도 할 겸
기대된다",95
"주말에 계획 있어?
가족들이랑 영화 보러 가기로 했어
좋겠다! 무슨 영화 볼 거야?
최근에 개봉한 애니메이션
거기 재밌대, 나도 보고 싶어
다음에 같이 보러 가자
좋아! 약속이다
그럼 다음 주에",108
"주말에 뭐 할 거야?
가족들이랑 아쿠아리움 가기로 했어
좋겠다! 어디로 가?
코엑스 아쿠아리움으로 갈 거야
거기 진짜 신기하더라
맞아, 다양한 물고기를 볼 수 있어
재밌게 놀다 와
고마워, 다음에 같이 가자",115
"오늘 저녁에 뭐 할까?
집에서 책이나 읽을까?
좋은 생각이야! 무슨 책 읽을래?
최근에 산 소설책
나도 그거 읽고 싶었어
그럼 같이 읽자
차도 마시면서
좋아! 조용한 시간 보내자",99
"날씨가 참 좋다
그치? 겨울인데 따뜻해
스케이트 타러 갈 만한 곳 없을까?
실내 스케이트장 있는데 거기 좋대
주말에 같이 가보자
좋아! 스케이트도 타고
그래, 재밌을 것 같아
기대된다",102
"주말에 계획 있어?
친구들이랑 스키 가기로 했어
좋겠다! 어디로 가?
강원도 스키장으로 갈 거야
눈도 많이 왔대, 조건 좋겠다
맞아, 스키 타기 딱이야
잘 놀다 와
고마워, 다음에 같이 가자",106
"날씨가 점점 추워지네
그치? 겨울이 왔어
점심 먹고 따뜻한 곳에 갈까?
좋은 생각이야! 실내 카페에서 이야기하자
그래, 따뜻한 차 마시면서
1시쯤 만날까?
알겠어, 그때 봐
기대된다",101
"주말에 뭐 할 거야?
친구들이랑 아이스링크 가기로 했어
좋겠다! 어디로 가?
잠실 아이스링크로 갈 거야
거기 스케이트 타기 좋더라
맞아, 겨울 스포츠하기 딱이야
재밌게 놀다 와
고마워, 다음에 같이 가자",113
"오늘 날씨 진짜 좋다
그치? 나들이 하기 딱이야
한강 갈까?
좋아! 공기도 맑고
김밥 싸갈까?
나 과일도 챙겨올게
11시에 만나자
ok!",76
"저녁 뭐 먹을까?
나는 파스타 생각 중이야
오 좋다! 어디 갈래?
신사동에 새로 연 집
리뷰 괜찮아?
별점 4.8점이야
예약 해놓을게
ㅇㅋ",77
"주말에 영화 보러 갈래?
어떤 영화?
요즘 핫한 그 액션물
나도 보고 싶었어
토요일 오후에 보자
좋아! 약속
팝콘은 내가 살게
ㅎㅎ",73
"새로 산 헤드폰 어때?
음질 진짜 좋아
블루투스 연결은?
잘 돼. 배터리도 오래 가
어디서 샀어?
공식 스토어에서 할인할 때 샀어
나중에 링크 보내줘
ok~",87
"내일 회의 몇 시야?
10시 회의실
주제는 뭐야?
분기별 실적 보고
ppt 준비됐어?
어제 다 했어
수고했어!
ㅇㅇ",64
"점심 메뉴 추천해줘
오늘은 냉면 어때?
아이스크림 같은 거 아님?
더워서 시원한 게 좋겠다
교내 국수랑 가자
좋아! 12시 20분에 만나
ㄱㄱ",79
"운동 같이 할래?
어떤 운동?
주말에 등산 어때?
북한산 갈까?
좋지! 준비물은?
등산화랑 물 챙기면 돼
일출 보러 가자
기대된다",72
"요즘 어떤 책 읽어?
자기계발 서적
어떤 내용이야?
습관 만들기에 대한 거
재밌어?
응, 도움 많이 됨
다 읽으면 빌려줘
ok",70
"주말에 바다 갈까?
와 좋다! 어디로?
강릉이나 속초
차로 2시간이면 돼
숙소 예약해야겠다
내가 할게
수영복 준비해야지
기대 기대",72
"커피 마실래?
지금?
응, 새로 생긴 카페
어디야?
건물 뒤쪽
5분 뒤에 만나
나 가고 있을게",52
"노래 추천해줘
요즘 이 노래 듣고 있어
제목 뭐야?
strawberry moon
들어볼게
내 취향일 것 같아
나중에 후기 알려줘
ㅇㅇ",74
"저녁에 시간 돼?
오늘 약속 없어
과제 도와줄 수 있어?
무슨 과제?
통계학 과제
나 통계 잘하는데
고마워! 7시에 만나
ㄱㄱ",70
"주말에 짐 좀 도와줘
이사 가는 거야?
네, 새 집으로
언제 할래?
토요일 오전에
도와줄게
고마워! 점심 사줄게
ㅋㅋ",65
"새로 산 스마트워치 어때?
기능이 많아
가장 유용한 기능은?
건강 추적 기능
배터리는?
이틀 정도 가
나도 살까 고민 중
추천해",71
"공부 같이 할래?
어디서?
도서관 스터디룸
몇 시에?
2시부터 5시까지
과목은?
영어와 수학
준비물 챙겨올게
ok",63
"오늘 저녁 모임 몇 시야?
7시 반이야
어디서 만나?
역 앞 스타벅스
누가 오는데?
우리 반 친구들 다 와
기대된다
나도!",68
"주말에 농구 할래?
좋아! 어디서?
동네 체육관
몇 시에?
오후 2시
친구들 더 불러?
응, 4명 더 온대
신난다",63
"새로 나온 아이폰 보셨어?
아직 안 봤어
디자인 예쁘더라
카메라 성능은?
전보다 훨씬 좋대
살까 고민중
나도 관심 있어",66
"내일 비 온대
우산 챙겨야겠다
나 우산 없어
하나 빌려줄까?
고마워! 내일 아침에 만나자
학교 정문에서
9시까지 와
ok",67
"요즘 피아노 치고 있어?
응, 취미로 배우는 중
어디서 배워?
집 근처 학원
재밌어?
너무 재밌어! 스트레스 풀려",63
"점심에 뭐 먹었어?
김치찌개 먹었어
맛있었어?
응, 정말 맛있었어
나도 먹고 싶다
내일 같이 갈래?
좋아! 약속",62
