dialogue,글자수
"새로운 앱을 개발해보고 싶은데 어떤 언어로 시작하는 게 좋을까요?
어떤 플랫폼이요?
안드로이드랑 iOS 둘 다요.
Flutter나 React Native요.
배우기 어렵나요?
기초 지식 있으면 괜찮아요.",113
"내일 프레젠테이션 준비는 잘 되셨나요? 도움이 필요한 게 있으면 말씀하세요.
거의 완료됐어요.
자료 검토해드릴까요?
괜찮아요, 감사합니다.",77
"새로운 직업 교육 과정에 등록해보려고 하는데 어떤 분야가 전망이 좋을까요?
IT 관련은 어때요?
구체적으로 어떤 것들이요?
데이터 분석이나 웹 개발이요.
알아봐야겠네요.",94
"새로운 운동화를 사려고 하는데 어떤 브랜드가 편한지 추천해주세요.
어떤 용도로요?
일상 생활이랑 가벼운 운동용이요.
나이키나 아디다스 어때요?
가격대는 어떻게 돼요?
10-15만원 정도요.",105
"오늘 저녁 회식이 있다고 하던데, 몇 시부터인지 혹시 아세요?
6시 30분부터예요.
장소는 어디인가요?
회사 근처 한정식집이요.",71
"새로운 카페에서 아르바이트를 시작했는데 커피 만드는 게 어려워요.
어떤 부분이 어려워요?
에스프레소 추출하는 거요.
연습하면 금방 늘어요.
열심히 해볼게요!",87
"새로운 스마트폰 케이스를 사려고 하는데 어떤 재질이 보호력이 좋나요?
실리콘이나 TPU 소재요.
투명한 걸로 하고 싶은데요.
투명 TPU 케이스 추천해요.
어디서 살 수 있나요?
온라인 쇼핑몰에 많아요.",113
"내일 날씨가 추울 것 같던데, 두꺼운 옷 챙겨 입으시는 게 좋을 것 같아요.
정말요? 확인 안 했는데.
아침 기온이 5도까지 내려간다던데요.
코트 챙겨야겠네요.",89
"새로운 노트북을 사려고 하는데 어떤 사양을 봐야 할까요?
용도가 뭐예요?
문서 작업이랑 인터넷 검색이요.
기본 사양이면 충분해요.
추천 브랜드 있나요?",84
"새로운 운동 동호회에 가입해보려고 하는데 어떤 운동이 좋을까요?
나이대가 어떻게 되세요?
30대 초반이요.
테니스나 배드민턴 어때요?
배드민턴 재미있을 것 같아요!
초보자도 환영하는 곳 많아요.",108
"점심시간에 산책 같이 하실래요? 날씨도 좋고 운동도 될 것 같아서요.
좋은 생각이에요!
어디로 갈까요?
회사 뒷산 어떠세요?",69
"새로운 맛집을 발견했는데 같이 가보실래요?
어떤 음식점이에요?
이탈리안 레스토랑이요.
어디에 있어요?
강남역 근처요.",65
"새로운 동아리 활동을 시작해보려고 하는데 추천해주실 게 있나요?
어떤 분야에 관심 있으세요?
사진 촬영이요.
사진 동아리 찾아보세요.
어디서 찾을 수 있나요?
커뮤니티 사이트에서요.",101
"내일 팀 미팅 자료 준비 다 하셨나요? 혹시 도움 필요한 부분 있으면 말씀하세요.
거의 끝나가요.
발표 연습도 해봤어요?
네, 준비 완료했습니다.",81
"새로운 영어 회화 학원을 다니려고 하는데 어떤 곳이 좋을까요?
원어민 수업 원하세요?
네, 회화 실력 늘리고 싶어서요.
YBM이나 시사 어때요?
알아봐야겠어요.",89
"새로운 자동차 보험을 알아보고 있는데 어떤 걸 중점적으로 봐야 할까요?
운전 경력이 어떻게 되세요?
5년 정도요.
보상 범위랑 보험료 비교하세요.
온라인으로도 가입 가능한가요?
네, 더 저렴해요.",109
"오늘 저녁에 비가 올 예정이라던데, 우산 준비하고 계세요?
깜빡했네요!
제가 여분이 있어서 빌려드릴게요.
정말 고맙습니다!",68
"새로운 컴퓨터 모니터를 사려고 하는데 어떤 크기가 좋을까요?
용도가 뭐예요?
업무용이에요.
24-27인치 정도면 돼요.
추천 브랜드 있나요?",78
"새로운 스마트 밴드를 샀는데 어떤 기능부터 설정해야 할까요?
어떤 제품이에요?
샤오미 미밴드요.
앱부터 설치하세요.
어떤 기능이 유용한가요?
수면 패턴 분석이요.",90
"내일 워크샵 참석하시는 거죠? 준비물이나 복장에 특별한 요구사항 있나요?
캐주얼하게 입으시면 돼요.
노트북 가져가야 하나요?
네, 실습이 있거든요.",82
"새로운 카메라 렌즈를 사려고 하는데 어떤 초점거리가 좋을까요?
주로 뭘 찍으세요?
인물 사진이요.
85mm나 135mm 추천해요.
가격대는 어때요?",82
"새로운 홈카페 용품을 사려고 하는데 어떤 것부터 시작하는 게 좋을까요?
커피머신 있으세요?
아직 없어요.
드립용품부터 사세요.
어떤 걸 사면 되나요?
드리퍼랑 서버요.",93
"새로운 책을 읽기 시작했는데 정말 재미있어요. 추천드리고 싶어서요.
어떤 책이에요?
미라클 모닝이라는 자기계발서예요.
저도 읽어보고 싶네요!",78
"주말에 친구들과 바베큐 파티를 하려고 하는데 뭘 준비해야 할까요?
고기랑 야채는 기본이고요.
음료수도 필요하겠네요.
네, 맥주랑 음료수 다양하게요.
재미있을 것 같아요!",94
"새로운 화분을 사려고 하는데 어떤 식물이 키우기 쉬울까요?
실내용이세요?
네, 거실에 둘 거예요.
산세베리아나 몬스테라요.
물은 자주 줘야 하나요?
일주일에 한 번 정도요.",96
"오늘 점심 후에 커피 한 잔 하실래요? 새로 생긴 카페가 있더라고요.
좋아요!
어디에 있어요?
사거리 모퉁이요.",62
"새로운 다이어트 방법을 알아보고 있는데 어떤 게 효과적일까요?
운동이랑 식단 관리 함께 해야죠.
어떤 운동이 좋나요?
유산소랑 근력운동 병행하세요.
조언 감사합니다!",92
"새로운 펜션 예약을 하려고 하는데 어떤 걸 확인해야 할까요?
언제 가시는데요?
다음 주말이요.
취소 정책 먼저 확인하세요.
또 뭐가 중요한가요?
주변 관광지 정보도요.",93
"새로운 스마트워치 구매를 고려하고 있는데 어떤 기능이 중요할까요?
건강 관리 기능이 좋아요.
구체적으로 어떤 건가요?
심박수나 수면 패턴 측정이요.",82
"주말에 아이와 함께 갈 만한 곳 추천해주세요.
몇 살이에요?
5살이요.
어린이 박물관이나 놀이공원 어때요?
좋은 생각이네요!",69
"새로운 자격증 취득을 계획하고 있는데 어떤 게 도움이 될까요?
어떤 분야에서 일하세요?
마케팅 쪽이요.
구글 애즈나 GA 자격증이요.
온라인으로 공부 가능한가요?
네, 무료로 할 수 있어요.",106
"오늘 저녁 식사 메뉴 추천해주세요. 집에서 간단하게 해먹을 수 있는 걸로요.
파스타는 어때요?
좋네요! 어떤 소스가 쉬울까요?
토마토 소스가 제일 간단해요.",87
"새로운 온라인 쇼핑몰에서 옷을 사보려고 하는데 사이즈가 걱정돼요.
교환이나 반품 가능한가요?
네, 7일 내에 가능해요.
그럼 한번 주문해봐도 되겠네요.
후기도 참고해보세요.",96
"새로운 헬스장 등록을 고려하고 있는데 어떤 걸 확인해야 할까요?
집에서 가까운 곳이에요?
네, 도보 10분 거리요.
그럼 시설이랑 가격 비교해보세요.
체험 이용도 가능한가요?
네, 일주일 무료체험 돼요.",113
"새로운 핸드폰 케이스를 주문했는데 색깔이 마음에 안 들어요.
교환 가능한가요?
네, 미사용 제품이면 가능해요.
다행이네요. 바로 연락해봐야겠어요.",81
"주말에 친구와 등산을 가려고 하는데 어떤 준비를 해야 할까요?
등산화랑 물은 기본이고요.
간식도 챙겨야겠네요.
네, 에너지바나 과일 좋아요.
조언 감사합니다!",88
"새로운 요리를 배우고 싶은데 어떤 걸 시작하는 게 좋을까요?
어떤 요리에 관심 있으세요?
한식이요.
김치찌개나 된장찌개부터요.
레시피는 어디서 찾나요?
유튜브에 많아요.",94
"새로운 드라마가 재미있다고 해서 보기 시작했는데 정말 좋네요.
어떤 드라마예요?
사랑은 뷰티풀 인생은 원더풀이요.
저도 한번 봐야겠어요!",76
"새로운 카페에서 디저트를 먹어봤는데 정말 맛있더라고요.
어떤 디저트예요?
티라미수랑 치즈케이크요.
어디에 있는 카페인가요?
홍대 근처 작은 카페예요.",83
"새로운 운동 프로그램에 참여해보려고 하는데 어떤 게 좋을까요?
어떤 운동 선호하세요?
요가나 필라테스요.
둘 다 좋은데 필라테스가 더 강도 있어요.
초보자도 할 수 있나요?
네, 기초반부터 시작하세요.",112
내일 비올 확률이 높다던데 우산 챙,19
# 일반 대화 데이터셋 (Normal Conversation Dataset),42
