"dialogue","글자수"
"문화생활 좀 하세요?
아뇨.
왜요?
그냥요.
뭐라도 좀 보세요.
싫어요.
왜요?
귀찮아서요.
하하, 농담이죠?
아뇨, 진짜 귀찮아요.
그래도 좀 보세요.
알았어요.","91"
"요즘 술 마셔요?
아뇨.
왜요?
그냥요.
술이 인생의 전부는 아니야.
알아요.
술은 적당히 마시는 게 좋아.
네.
그래도 가끔은 한잔해.
네.
하하, 귀여워.","88"
"이런 실험은 처음 해보는 거라 너무 떨려요.
걱정 마세요! 우리가 완벽하게 해낼 수 있어요!
정말 그럴까요? 너무 복잡해서 제가 잘할 수 있을지 모르겠어요.
아니에요! 이미 충분히 공부했잖아요. 이제 우리가 배운 걸 증명할 때예요!
그렇긴 하지만... 혹시라도 실수하면 어떡하죠?
실수요? 실수는 배우는 과정의 일부일 뿐이에요! 실패가 우리를 더 강하게 만들 거예요!
그렇게 말씀해주시니 용기가 생기네요.
그렇죠? 자신감을 가지세요! 우리한테 불가능은 없어요!
정말 멋진 말이에요. 선배님 같은 분과 함께할 수 있어서 영광이에요.
하하, 영광이라뇨! 저는 그저 우리가 함께 성공할 거라고 믿는 것뿐이에요.
저도 그렇게 믿을게요!
좋아요! 그럼 이제 시작해볼까요?
네! 한번 해봐요!
자, 준비됐죠?
네!
좋아! 가봅시다!
가즈아!
자, 이제 데이터를 분석해볼까요?
네, 제가 바로 해볼게요!
역시! 우리 팀은 최고예요!
헤헤, 선배님이 최고죠!
아니에요, 우리 둘 다 최고예요!
히히, 고마워요.
자, 그럼 이제 다음 단계로 넘어가볼까요?
네, 좋아요!
우리 진짜 잘하고 있는 것 같아요.
그렇죠? 이대로만 가면 돼요!
정말 뿌듯하네요.
저도요! 이 기분을 즐겨야 해요!
네, 정말 좋아요!
자, 마지막으로 한 번 더 확인해볼까요?
네! 완벽하게 끝내야죠!
그래요! 완벽주의자처럼!
하하, 좋아요!
자, 파이팅!
네! 파이팅!","686"
"이번 프로젝트는 정말 대박 날 것 같아요!
저도 그렇게 생각해요! 저희 아이디어가 정말 신선하잖아요!
맞아요! 이런 시도는 아무도 안 해봤을 거예요!
이대로만 가면 저희가 이 분야의 선두주자가 될 수 있을 거예요!
저도 그렇게 믿어 의심치 않아요!
자신감을 가지세요! 우리가 최고예요!
선배님 덕분에 제가 더 힘을 얻네요!
뭘요, 우리는 한 팀이잖아요! 서로서로 북돋아줘야죠!
정말 감사해요.
자, 그럼 이제 시장 조사를 더 철저하게 해볼까요?
네! 제가 바로 준비하겠습니다!
좋아요! 열정적으로!
네! 불꽃처럼!
하하, 좋아! 그 열정 잃지 마세요!
네! 절대 잃지 않을게요!
우리 진짜 성공할 거예요!
네, 선배님과 함께라면요!
하하, 고마워요.
자, 그럼 이제 시작해볼까요?
네! 가봅시다!
파이팅!
파이팅!","399"
"혹시 뭐 필요한 거 없으세요?
아, 네. 괜찮아요.
정말요? 힘들어 보이는데.
괜찮아요. 제가 알아서 할게요.
도움이 필요하면 언제든 말해요.
네.
제가 해드릴 수 있는 게 없어서 좀 그러네요.
아니에요. 마음만으로도 감사해요.
정말 아무것도 안 해줘도 돼요?
네. 그냥 혼자 있고 싶어요.
알겠어요. 그럼.
네.
너무 힘들어하지 말아요.
...
제가 옆에 있어줄게요.
아... 네.
혹시 뭐 하고 싶은 거 있으세요?
딱히...
그냥 같이 앉아 있을까요?
네, 그러죠.
많이 힘들었죠?
네... 좀 그래요.
이제 다 괜찮을 거예요.
그렇게 말해주니까 고맙네요.
제가 옆에 있을게요.
네.
쉬고 싶으면 쉬어도 돼요.
네, 좀 쉬고 싶네요.
푹 쉬세요.
네.","366"
"요즘 좀 힘든 일 있으세요?
아, 네. 조금요.
얼굴이 안 좋아 보여서요.
괜찮아요. 원래 좀 그래요.
혹시 제가 도와드릴 수 있는 일이 있을까요?
아니요, 괜찮습니다.
괜히 신경 쓰이게 해드려서 죄송해요.
아닙니다. 제가 좀 티를 많이 냈나 봐요.
아니에요. 원래부터 좀 기운이 없어 보이셔서요.
그렇군요.
혹시 무슨 일인지 말씀해주실 수 있으세요?
...딱히 말씀드릴 게 없네요.
네, 알겠습니다.
그냥... 좀 지쳐서요.
아... 그러셨구나.
네.
힘내세요.
네... 감사합니다.","271"
"무슨 일 있어요?
아니요. 아무것도 없는데요.
왜 이렇게 시무룩해 보여요?
원래 그래요.
...그렇구나.
네.
혹시 제가 뭐 잘못했어요?
아니요. 당신이 뭘 잘못하겠어요.
아니... 그냥 분위기가 그래서.
제가 좀 예민해서 그래요. 신경 쓰지 마세요.
그래도 좀... 미안하네요.
미안해할 필요 없어요.
네...
너무 그렇게 생각하지 말아요.
네.
혹시 불편하면 말씀해주세요.
네, 알겠습니다.
그럼 저 먼저 가볼게요.
네.","237"
"오늘도 야근이에요?
네. 좀 남아서 할 일이 있어서요.
힘드시겠어요.
괜찮아요. 제가 선택한 일인데요, 뭐.
그래도 몸 생각하면서 하세요.
네. 감사합니다.
혹시 뭐라도 사다 드릴까요?
아니요. 괜찮아요.
그럼... 저 먼저 갈게요.
네, 안녕히 가세요.
네, 내일 봬요.
네.","155"
"혹시 저한테 불만 있으세요?
아뇨, 전혀요.
근데 왜 저만 보면 그렇게 시니컬하세요?
제가 언제요. 그냥 평소랑 똑같은데요.
아니... 저번에 제가 뭐 잘못한 게 있나 해서요.
아무것도 없어요. 오해예요.
정말이요?
네, 정말이에요.
다행이네요.
네.
그럼 저 먼저 가볼게요.
네.","157"
"오늘 점심 뭐 드셨어요?
그냥 편의점에서 대충 먹었어요.
맛있는 거라도 사 드시지.
혼자 먹는데 뭐.
같이 드실래요?
아뇨, 괜찮아요.
그래도...
괜찮아요.","88"
"혹시 주말에 뭐 하세요?
집에서 쉬려고요.
저랑 같이 영화 보실래요?
아뇨. 혼자 있고 싶어요.
아... 네.
미안해요. 제가 좀 내성적이라.
아니에요. 괜찮아요.
네.","94"
"요즘 날씨 진짜 좋네요.
그러게요, 사진 찍으러 가기 딱 좋은 날씨예요.
사진 찍으시는 거 좋아하세요?
네, 요즘 취미로 배우고 있어요.
어떤 사진을 찍으세요?
풍경 사진이요. 특히 하늘 사진 찍는 걸 좋아해요.
하늘이 정말 예쁘죠.
네, 그렇죠. 쨍한 파란 하늘도 좋고, 노을 지는 하늘도 좋고요.
저도 언젠가 사진 배워보고 싶어요.
배워보세요, 정말 재미있어요.
어떤 카메라로 시작하는 게 좋을까요?
요즘엔 핸드폰 카메라로도 충분해요.
정말요?
네, 요즘 핸드폰 성능이 워낙 좋아서요.
아, 그렇군요.
네, 너무 어렵게 생각하지 말고 일단 한번 찍어보세요.
네, 감사합니다.
그럼 오늘 저녁 노을 사진 찍으러 가실래요?
네? 저요?
네.
저는 그냥...
괜찮아요, 그냥 편하게 오세요.
그래도...
가서 커피 한잔 하면서 사진 찍으면 재미있을 거예요.
네, 알겠습니다.
그럼 이따 봐요.
네.","445"
"생명과학 강의 들으세요?
네, 듣고 있어요.
어때요, 재미있어요?
네, 흥미로워요.
어떤 부분이 제일 흥미로워요?
유전자요. 유전자에 대해 배우는 게 신기해요.
아, 저도 옛날에 생명과학 좋아했었는데.
아, 그러세요?
네. 유전자가 우리 몸을 구성하고 있다는 게 정말 신기하죠.
네, 그렇죠.
생명과학은 정말 끝이 없는 학문인 것 같아요.
네, 그렇죠.
혹시 생명과학 전공하실 거예요?
아뇨, 그냥 재미있어서 배우는 거예요.
그래도 열심히 하시네요.
네, 재미있어서요.
혹시 궁금한 거 있으면 저한테 물어보세요.
아, 그러세요?
네, 제가 좀 알려드릴게요.
네, 감사합니다.
열심히 공부해서 좋은 성적 받으세요.
네.
화이팅!
네, 화이팅!","358"
"오늘 뉴스 봤어?
아니, 안 봤는데.
왜?
별로 관심 없어서.
세상 돌아가는 건 알아야지.
굳이 알아야 할 필요가 있나?
당연하지.
왜?
그래야지 똑똑하게 살지.
난 그냥 내 할 일만 잘 하면 된다고 생각하는데.
그래도.
뭐.
혹시 세상에 대해 너무 무관심한 거 아니야?
그럴 수도 있지.
좀 봐.
싫어.
왜?
귀찮아.
참나.
아무튼 나중에 중요한 뉴스 있으면 알려줘.
그럴까?
응.
알았어.
고마워.
뭘.","227"
"혹시 사진 찍으세요?
네, 가끔이요.
어떤 사진을 찍으세요?
풍경 사진이요.
아, 그렇구나.
네.
사진 찍는 거 좋아하시나 봐요.
네, 좋아해요.
혹시 사진 잘 찍는 방법 좀 알려주세요.
저도 잘 못 찍어요.
아니에요, 잘 찍으시는 것 같은데.
아니에요.
그래도 팁이라도.
음... 빛을 잘 활용하는 게 중요해요.
빛이요?
네.
어떻게 활용해야 잘 활용하는 거예요?
그냥... 밝은 데서 찍으세요.
하하, 알겠습니다.
네.
혹시 사진 찍는 거 배우고 싶으세요?
네.
그럼 사진 관련 유튜브를 보세요.
네, 알겠습니다.
사진은 그냥 즐기면서 찍는 게 좋아요.
네, 감사합니다.","321"
"오늘 뉴스 봤어?
아니, 안 봤는데.
왜?
별로 관심 없어서.
그래도 봐야지.
왜?
그래야지 똑똑해지지.
난 안 똑똑해도 돼.
무슨 소리야.
그냥.
혹시 무슨 일 있었어?
아니.
근데 왜 그래.
그냥 그래.
무슨 일 있으면 말해.
아무것도 아니야.
정말?
응.
알았어.
응.
근데 왜?
그냥 물어봤어.
응.
알았어.
응.","179"
"교육받으러 왔어?
응.
왜 이렇게 초조해 보여?
아니, 그냥...
괜찮아. 잘 될 거야.
정말?
응.
고마워.
뭘.
힘내.
응, 고마워.
혹시 모르는 거 있으면 물어봐.
네.
부담 갖지 말고.
네.
잘할 수 있을 거야.
네.","125"
"봉사활동하러 왔어?
네.
어떤 봉사활동 하세요?
그냥 시키는 거요.
혹시 힘든 점은 없어요?
괜찮아요.
그래도 힘들면 말씀하세요.
네.
봉사활동은 정말 좋은 일이죠.
네.
어떤 봉사활동을 주로 하세요?
그냥 다 해요.
봉사활동 정말 멋져요.","134"
"회계 공부 힘들어?
네, 어려워요.
그래도 잘할 수 있을 거야.
정말요?
응, 내가 도와줄게.
고마워요.
뭘.
힘이 나네요.
그래. 힘내.
언제든지 물어봐.
네.
잘 될 거야.
네.","101"
"요즘 경제가 너무 안 좋아서 걱정이에요.
원래 그래요. 좋은 날도 있고 나쁜 날도 있죠.
그래도 좀 불안하네요.
뭐, 어떻게든 되겠죠.
그냥 이렇게 보고만 있을 순 없잖아요.
그럼 투자라도 하시든가요.
하긴... 그렇네요.","124"
"혹시 그 레시피 아세요?
무슨 레시피요?
그... 빵 만드는 레시피요.
제가 알 리가 있나요. 관심 없는데.
아, 네. 죄송합니다.","73"
"요즘 환경 문제 때문에 걱정이 많아요.
어쩌겠어요. 이미 늦은 것 같은데요.
그래도 포기할 순 없잖아요.
글쎄요. 그건 당신 마음이죠.
너무 무심하시네요.
원래 그래요.","94"
"이번에 회사에서 진행하는 경제 세미나 말이야.
아, 그거? 나도 가볼까 생각 중이었는데.
너도 갈 거야? 그럼 같이 가자!
좋지! 언제 어디서 하는데?
다음 주 금요일, 회사 강당에서.
오, 알았어! 그때 보자!","118"
"이 레시피 좀 봐주실 수 있으세요?
네, 주세요.
좀 부족한 부분이 많을 거예요.
뭐, 그렇죠. 원래 다들 처음엔 그렇죠.
조금이라도 나아졌으면 좋겠는데.
노력하면 되겠죠.","96"
"우리 동네에 쓰레기가 너무 많지 않아?
그러게. 누가 이렇게 버렸지?
진짜 양심이 없다.
에휴, 답이 없네.","60"
"혹시 경제 관련 책 추천해주실 수 있으세요?
음... 별로 추천해주고 싶지 않네요.
왜요?
어차피 읽어도 이해 못 하실 것 같은데요.
네... 죄송합니다.","86"
"요즘 레시피 영상 자주 보는데, 너무 재밌지 않아요?
재밌는 건 모르겠고, 그냥 그래요.
진짜 재미없다.
레시피는 레시피일 뿐이죠.","73"
"혹시 제가 만든 음식 맛 좀 봐주실 수 있으세요?
네, 주세요.
좀 이상할 수도 있어요.
제가 맛 평가를 해드릴 이유가 있나요?
네... 죄송합니다.","83"
"오늘 점심 뭐 먹을래?
음... 내가 맛있는 거 사줄게!
와, 진짜?
응! 먹고 싶은 거 말해!
파스타!","58"
"이번에 회사에서 진행하는 환경 캠페인 말이야.
아, 그거? 참여할 거야?
응! 나도 참여해서 환경 보호에 기여하고 싶어.
오, 좋은 생각이다!","79"
"혹시 이 레시피대로 만들면 맛이 없을까요?
음... 당신이 만들면 맛이 없을 수도 있겠네요.
왜요?
그냥.","59"
"이번에 새로 나온 경제 뉴스 봤어?
아니, 아직. 어떤 내용인데?
주식 시장이 폭락했대.
오, 대박!
너는 걱정도 안 돼?","68"
"우리 동네에 환경 미화원분들 너무 힘들어 보이시지 않아?
그러게. 우리가 쓰레기 좀 덜 버려야 할 텐데.
맞아! 앞으로 더 노력해야겠다.","76"
"혹시 이 레시피 좀 알려주실 수 있으세요?
알려드릴 이유가 없는데요.
네... 죄송합니다.","50"
"요즘 경제 관련해서 공부하고 있는데, 너무 어렵네요.
원래 어려워요.
그래도 포기하고 싶진 않아요.
그럼 계속 하든가요.","67"
"혹시 환경 문제 해결에 도움 되는 방법 아세요?
음... 별로 관심 없는데요.
네... 죄송합니다.","55"
"이번에 새로 배운 레시피로 요리 만들어 봤는데, 망했어.
괜찮아! 원래 처음엔 다 그런 거야.
그래? 좀 실망했는데.
다음에 더 잘하면 되지!","79"
"혹시 경제 관련해서 상담받을 수 있을까요?
저는 그런 거 안 합니다.
네... 죄송합니다.","50"
"오늘 날씨 진짜 좋다!
그러게요! 이런 날씨에 산책이라도 해야 하는데.
그래! 우리 같이 산책하자!
좋아!","59"
"자기야, 요즘 마케팅 공부하는데 너무 어려워...
음, 뭐가 그렇게 어려운데?
어떻게 시작해야 할지 모르겠어. 막막해...
괜찮아! 내가 옆에서 도와줄게.
정말? 너무 고마워!
뭘! 내가 너한테 도움이 될 수 있다면 뭐든지 해줄게.
정말 너그러운 마음이네. 고마워!
자, 이제 같이 시작해보자!
네!","167"
"오늘 날씨 진짜 좋다!
그러게요. 이런 날씨에 일만 하려니 아쉽네요.
그러니까요. 점심 먹고 산책이라도 할까요?
너무 좋죠! 어디로 갈까요?
회사 근처 공원 어때요?
너무 좋죠!
우리 같이 사진 찍을래요?
네, 좋아요!","122"
"혹시 세무 관련해서 조언 좀 해주실 수 있으세요?
음, 제가 아는 한에서 최대한 알려드릴게요.
정말요? 너무 감사해요!
뭘요. 저도 예전에 세금 때문에 엄청 고생했거든요.
아, 그러셨구나.
그래서 제가 아는 모든 것을 알려드릴게요.
네, 너무 감사해요!
자, 그럼 이제 시작해볼까요?","158"
"오늘 날씨 너무 덥다.
그러게요. 정말 미칠 것 같아요.
괜찮아요. 곧 시원해질 거예요.
정말요?
네. 제가 장담해요.
그래도 좀 불안하네요.
걱정 마세요. 제가 옆에 있잖아요.
네...","104"
"혹시 세무 관련해서 좋은 책 있으면 추천해주실 수 있으세요?
음, 제가 읽은 책은 딱히 없네요.
네... 알겠습니다.
그래도 제가 아는 한에서 최대한 도와드릴게요.
정말요? 너무 감사해요!
뭘요. 제가 너그럽잖아요.","120"
"건강은 좀 괜찮아?
응, 괜찮아.
다행이다. 많이 아프지 마.
응.
왜 그렇게 힘이 없어 보여?
그냥.
괜찮아. 다 잘 될 거야.
정말?
응.
믿어도 돼?
응, 믿어.
고마워.
뭘.
항상 건강해야 해.
응.
아프지 마.
응.
약 잘 챙겨 먹고.
응.
그래도 힘내!","147"
"요가 잘해?
아뇨.
왜? 어려워?
네.
그래도 열심히 해.
네.
잘할 수 있을 거야.
정말요?
응.
믿어도 돼?
응, 믿어.
고마워요.
뭘.","78"
"경영 공부 힘들어?
네, 어려워요.
그래도 열심히 해.
네.
잘할 수 있을 거야.
정말요?
응.
믿어도 돼?
응, 믿어.
고마워요.
뭘.
힘내.
네.","83"
"개발 공부 힘들어?
응, 너무 어려워.
아, 진짜? 나한테는 완전 쉬운데.
진짜? 어떻게?
그냥 하면 돼. 하하하.
무슨 소리야.
아니, 진짜. 그냥 하다 보면 다 돼.
황당하네.
왜?
아니, 그게 어떻게 그냥 돼.
그냥 돼. 믿어봐.
말도 안 돼.
하하하, 믿을 수 없겠지.","154"
"명상 좀 해봤어?
아뇨, 잘 모르겠어요.
아, 진짜? 나한테는 완전 쉬운데.
진짜요? 어떻게?
그냥 눈 감고 있으면 돼. 하하하.
무슨 말씀이세요.
아니, 진짜. 그냥 하다 보면 다 돼.
황당하네요.
왜요?
아니, 그게 어떻게 그냥 돼요.
그냥 돼요. 믿어봐요.
말도 안 돼요.
하하하, 믿을 수 없겠죠.","170"
"결혼하면 정말 행복할까?
글쎄. 네가 행복할 수 있을까?
왜 그렇게 말해?
그냥. 너 같은 애가 결혼해서 행복할 리가 없잖아.
너무하네.
현실적으로 말하는 거야.
그래도 희망을 줘야지.
헛된 희망을 왜 줘.
정말 공격적이네.
원래 그래.
너 같은 애는 결혼 못할 것 같아.","152"
"개발 공부 정말 쉬워?
네, 쉬운 것 같아요.
하하, 네가 쉽다고 하니 웃기네.
왜요?
아니, 그게 쉬울 리가 없는데.
무슨 말씀이세요?
그냥. 넌 좀 특이한 것 같아.","94"
"기술 배우기 힘들어?
네, 어려워요.
하하, 네가 어려워할 줄 알았어.
왜요?
그냥. 너 같은 애가 기술을 배울 수 있을 리가 없잖아.
너무하시네요.
현실적으로 말하는 거야.
그래도 희망을 줘야죠.
헛된 희망을 왜 줘.
정말 공격적이네.
원래 그래.","139"
"요즘 클라우드 기술이 정말 대단한 것 같아.
클라우드? 그게 뭔데?
하하하! 너 정말 몰라?
뭐, 웃을 일이야?
아니, 그냥... 정말 모르는구나 싶어서.
모를 수도 있지!
아니, 요즘 시대에 클라우드를 모르면 안 되지.
왜? 내가 왜 알아야 하는데?
아니, 그게... 그냥 다들 아는 거잖아.
난 다들 아는 거 다 알아야 할 의무 없어.
아니, 그런 게 아니라... 그냥 상식이라고!
내가 아는 상식과 네가 아는 상식은 다르지!
하하, 그래, 그렇게 생각해.
뭐, 웃어?
아니, 그냥 네 말이 좀 웃겨서.
웃기다고?
응.
왜 웃긴데?
그냥... 모르겠어. 하하하!
나 놀리는 거야?
아니, 그런 거 아니야.
그럼 뭔데?
그냥 네가 너무 순진한 것 같아서.
순진하다고?
응, 너무 귀엽다고 해야 하나? 하하하!
나 지금 진지해.
알았어, 알았어. 미안.
됐어.
정말 미안해.
됐다고.
정말이야.
알았어.","449"
"요즘 환경 문제에 대해 어떻게 생각해?
글쎄... 심각하긴 한 것 같아.
그런데 왜 다들 노력을 안 하는 것 같아?
다들 나름대로 노력하고 있지 않을까?
아니, 그게 아니라... 더 열심히 해야지.
너무 강요하지 마.
강요가 아니라... 우리가 살아야 할 세상이잖아.
알아. 근데...
근데 뭐가?
너무 다들 비난만 하는 것 같아서.
비난이 아니라... 관심을 가지는 거지.
글쎄, 비난하는 것처럼 들리는데.
아니, 정말 그런 게 아니라니까.
알았어. 근데 너무 부담스러워.
부담스러워할 일이 아니야.
그래도...
그래도 뭐가?
나 혼자 한다고 세상이 바뀌는 것도 아니고.
너 혼자가 아니잖아.
그래도...
괜찮아. 우리 같이 하면 돼.","356"
"요즘 문화생활 좀 해?
문화생활?
응.
별로.
왜?
그냥.
재미없어?
응.
왜 재미없는데?
그냥.
너 혹시 연극이나 뮤지컬 같은 거 안 좋아해?
응.
왜?
시끄러워서.
시끄럽다고?
응.
그래도 좀 봐.
싫어.
왜?
보기 싫어.
혹시 영화도 안 봐?
영화는 봐.
그럼 영화는 왜 봐?
그냥 재미있어서.
그렇구나.
응.
근데 왜?
그냥 물어봤어.
응.
문화생활 좀 해봐.
싫어.
왜?
귀찮아서.","218"
"클라우드 기술이 정말 대단한 것 같아.
그렇지? 나도 그렇게 생각해.
어떻게 그런 생각을 했어?
그냥... 당연한 거 아니야?
아니, 당연하지 않지.
왜?
아니, 어떻게 그런 기술을 만들 수 있었을까?
뭐, 사람들이 다 똑똑하니까.
하하, 그래.
왜 웃어?
아니, 그냥 네 말이 웃겨서.
왜?
너무 긍정적이야.
긍정적이면 좋은 거 아니야?
좋지. 근데 너무 긍정적이라서.
하하, 그래, 나 좀 긍정적이야.
대단하다.
뭘.
그냥.","239"
"요즘 환경 문제 때문에 걱정이야.
걱정할 일 아니야.
왜?
다 알아서 할 거야.
누가?
정부나 기업들이.
그런데 왜 계속 문제가 생겨?
문제가 생기니까 해결책이 나오겠지.
너 너무 낙천적인 거 아니야?
긍정적으로 생각해야지.
하하, 그래.
왜 웃어?
아니, 그냥 네가 너무 긍정적이라서.
긍정적이면 좋은 거 아니야?
좋지. 근데 너무 긍정적이야.
하하, 그래.
대단하다.
뭘.
그냥.","214"
"문화생활 좀 하세요?
네, 가끔이요.
어떤 문화생활을 즐기세요?
연극이나 뮤지컬 같은 거 좋아해요.
아, 저도 좋아해요.
정말요?
네.
어떤 작품 좋아하세요?
최근에 '헤드윅' 봤는데 정말 좋았어요.
아, '헤드윅' 저도 보고 싶었는데.
정말 재미있어요.
어떤 점이 좋으셨어요?
배우들의 연기도 좋고, 노래도 좋았어요.
역시 뮤지컬은 배우들의 연기가 중요하죠.
네.
혹시 다음 작품 보러 갈 때 같이 가실래요?
네?
네, 제가 표 살게요.
아, 괜찮아요.
왜요?
그냥... 혼자 보는 게 편해서요.
그렇군요.
네.
그래도 같이 보면 더 좋지 않을까요?
글쎄요.","313"
"클라우드 기술에 대해 어떻게 생각하세요?
글쎄요... 잘 모르겠어요.
아니, 정말 모르세요? 하하하!
네, 잘 몰라요.
아니, 요즘 시대에 클라우드를 모르면 안 되는데.
왜요? 제가 왜 알아야 하는데요?
아니, 그게... 그냥 다들 아는 거니까.
저는 잘 모르니까요.
그래도 좀 아셔야죠.
왜요?
하하, 그냥... 모르겠어요.
뭐, 웃어요?
아니, 그냥... 모르는 게 신기해서.
뭐가요?
그냥... 너무 순진한 것 같아서.
순진하다고요?
네, 순진하고 귀엽고. 하하하!
저 놀리는 거죠?
아니에요, 정말이에요.","286"
