dialogue,글자수
"퇴근하고 나서 보통 뭐 하면서 시간 보내세요?
저는 요즘 기타를 배우기 시작해서 연습하고 있어요.
와, 정말요? 악기를 다루시다니 정말 멋지네요.
아직은 서툴러서 소음 수준이지만 재미있어요.
꾸준히 하시는 모습이 정말 대단한 것 같아요.
좋게 봐주셔서 감사합니다. 힘이 나네요.
저도 새로운 걸 배워보고 싶다는 생각이 드네요.
네, 꼭 도전해보세요!
네.
좋아요.",203
"이번에 새로 나온 기획안 아이디어가 아주 신선한데요?
감사합니다! 팀원들과 머리를 맞대고 고민했습니다.
특히 타겟 고객 분석 부분이 아주 날카로웠어요.
그 부분을 가장 신경 써서 준비했습니다.
이대로만 잘 진행하면 분명 좋은 결과가 있을 겁니다.
격려의 말씀 정말 감사합니다. 힘이 나네요.
앞으로도 좋은 아이디어 많이 기대하겠습니다.
네, 열심히 하겠습니다!
네.
알겠습니다.",211
"오늘 저녁 메뉴로 떡볶이 어떠세요?
와, 너무 좋아요! 마침 매콤한 게 당겼어요.
그럼 제가 가는 길에 포장해 갈까요?
정말요? 그래주시면 너무 감사하죠.
네, 그럼 퇴근하고 바로 사서 갈게요.
알겠습니다. 조심히 오세요.
네, 이따 봐요.
네, 고마워요.
네!
좋아요.",151
"김 과장님, 지난번 출장 보고서 공유 가능할까요?
네, 이 대리님. 지금 바로 메일로 보내드릴게요.
감사합니다! 다음 프로젝트에 참고할 게 있어서요.
천만에요. 보시고 궁금한 건 편하게 물어보세요.
네, 정말 감사합니다. 큰 도움이 될 것 같아요.
별말씀을요. 서로 도와야죠.
덕분에 업무가 수월해지겠어요.
다행이네요.
네.
좋습니다.",187
"요즘 새로 시작한 드라마가 그렇게 재미있다던데요.
아, 맞아요! 저도 그거 보는데 푹 빠졌어요.
주인공들 연기가 그렇게 실감 난다고 하더라고요.
네, 맞아요. 시간 가는 줄 모르고 보고 있어요.
그렇군요. 저도 오늘부터 정주행 시작해야겠네요.
네, 같이 보고 이야기 나누면 더 재밌을 거예요.
좋아요! 정말 기대되네요.
네, 꼭 보세요.
네!
알겠습니다.",198
"혹시 이 스마트폰 배경화면 바꾸는 법 아세요?
네, 그럼요. 제가 바로 알려드릴게요.
어떻게 하는지 몰라서 계속 헤매고 있었어요.
설정 앱에 들어가서 디스플레이를 누르시면 돼요.
아하, 여기에 메뉴가 숨어있었군요. 감사합니다.
천만에요. 해결되셨다니 다행이네요.
네, 덕분에 예쁜 화면으로 바꿨어요.
잘됐네요.
네.
좋아요.",181
"다음 주 제 생일인데 다 같이 저녁이나 먹을까요?
와, 진짜? 당연히 가야지! 너무 축하해.
고마워. 내가 괜찮은 식당으로 예약해 놓을게.
아니야, 주인공은 가만히 있어. 우리가 준비할게.
아냐, 그래도 내가 사는 게 마음이 편해.
그럼 우리 각자 작은 선물이라도 준비할게.
마음만으로도 정말 고마워. 다들 와주기만 해.
당연하지!
고마워.
기대된다!",196
"최 팀장님, 이번 분기 실적이 아주 좋게 나왔습니다.
정말? 다들 고생해준 덕분입니다. 정말 고맙습니다.
특히 팀장님의 전략적인 판단이 큰 역할을 했습니다.
아닙니다. 팀원들이 잘 따라와 준 덕분이죠.
정말 고생 많으셨습니다. 다음 분기도 기대됩니다.
네, 다 같이 조금만 더 힘내봅시다.
네, 알겠습니다!
정말 수고했어요.
감사합니다.
네.",191
"요즘 날씨가 좋아서 그런지 계속 졸음이 쏟아지네요.
그러게요. 점심 먹고 나면 정말 힘든 것 같아요.
시원한 커피라도 한잔 마셔야 정신이 들겠어요.
네, 제가 내려올 때 같이 사다 드릴까요?
와, 정말요? 그럼 저는 아이스 아메리카노요.
알겠습니다. 금방 다녀올게요.
네, 정말 고맙습니다!
별말씀을요.
네.
좋아요.",177
"박 대리님, 어제 공유해주신 자료 정말 유용했어요.
아, 그래요? 다행이네요. 도움이 되셨다니.
네, 덕분에 발표 자료를 잘 만들 수 있었어요.
천만에요. 필요하면 언제든지 말씀해주세요.
네, 그 따뜻한 마음에 정말 감동했습니다.
별거 아닌데요, 뭘. 잘 끝내서 다행이에요.
다음에 제가 꼭 식사 대접하겠습니다.
아닙니다.
네.
고마워요.",189
"최근에 읽은 책 중에 인상 깊었던 거 있으세요?
네, 얼마 전에 읽은 역사 소설이 기억에 남네요.
아, 그러세요? 어떤 내용의 책이었나요?
조선 시대를 배경으로 한 궁중 이야기였어요.
와, 제가 정말 좋아하는 장르인데 제목이 뭔가요?
'달빛의 노래'라는 책이에요. 정말 재밌어요.
좋은 책 추천해주셔서 정말 감사합니다.
천만에요.
네.
좋아요.",192
"저기요, 혹시 2호선 지하철역이 어디로 가야 하나요?
아, 이 길로 쭉 내려가시면 바로 보일 거예요.
여기서부터 많이 걸어야 하는 거리인가요?
아니요, 넉넉하게 10분이면 충분하실 겁니다.
그렇군요. 친절하게 알려주셔서 정말 고맙습니다.
별말씀을요. 날씨 더운데 조심히 가세요.
네, 덕분에 잘 찾아갈 수 있겠네요.
천만에요.
네.
알겠습니다.",192
"부장님, 지난번 승인해주신 휴가 잘 다녀왔습니다.
아, 김 대리. 그래요. 재충전의 시간이 되었길 바라요.
네, 덕분에 정말 푹 쉬고 편안하게 돌아왔습니다.
다행이네요. 이제 다시 열심히 일해야죠.
네, 그럼요! 자리에 앉아서 바로 업무 시작하겠습니다.
그래요. 쉬는 동안 밀린 일은 없는지 잘 챙겨봐요.
네, 알겠습니다. 신경 써주셔서 감사합니다.
별거 아니에요.
네.
좋아요.",212
"진짜 너무 죄송한데, 혹시 돈 좀 빌릴 수 있을까?
어? 무슨 일인데 그래? 급한 거야?
응, 갑자기 집에 일이 좀 생겨서 급하게 필요해.
알았어. 얼마 정도 필요한데? 말해봐.
정말 미안한데, 10만 원만 빌려주면 안 될까?
알았어. 지금 바로 계좌로 보내줄게.
정말 고마워. 월급날에 바로 갚을게.
천천히 줘도 돼.
아니야. 꼭 갚을게.
응, 알았어.",198
"주말에 새로 생긴 파스타 가게에 다녀왔어요.
아, 정말요? 저도 거기 가보고 싶었는데 어땠어요?
분위기도 좋고 음식도 정말 맛있더라고요.
와, 그렇군요. 다음에 꼭 한번 가봐야겠네요.
네, 특히 로제 파스타가 정말 일품이었어요.
좋은 정보 알려주셔서 정말 고마워요.
별말씀을요. 맛있게 드세요.
네, 그럴게요!
네.
좋아요.",181
"이 주임, 신규 프로젝트 기획안 한번 검토해줘요.
네, 팀장님. 지금 바로 확인해 보겠습니다.
전체적인 방향성은 좋은데, 예산 부분이 좀 부족해.
아, 그 부분은 제가 자료 조사를 더 해보겠습니다.
응, 현실적인 데이터를 기반으로 다시 작성해줘요.
네, 알겠습니다. 보완해서 다시 보고드리겠습니다.
좋아요. 오늘 안으로 부탁할게요.
네, 팀장님.
수고해요.
네.",202
"요즘 들어 부쩍 피곤하고 기운이 없는 것 같아요.
그러게요. 저도 봄이라 그런지 춘곤증이 오나 봐요.
이럴 때일수록 비타민을 잘 챙겨 먹어야 한대요.
맞아요. 영양제라도 하나 사서 먹어야겠어요.
네, 우리 같이 건강 관리 잘하도록 해요.
좋아요! 서로서로 잘 챙겨주자고요.
네, 좋습니다!
파이팅!
네.
좋아요.",174
"혹시 괜찮으시다면, 제가 가장 아끼는 펜인데 빌려드릴까요?
와, 정말요? 이렇게 비싼 펜을 빌려주셔도 괜찮으세요?
그럼요. 중요한 계약이라고 하셔서 힘을 실어드리고 싶었어요.
정말 감사합니다. 이 은혜는 평생 잊지 않겠습니다.
별말씀을요. 부디 좋은 결과 있으시길 바랍니다.
네, 꼭 성공적인 계약을 하고 돌아오겠습니다.
제가 진심으로 응원하고 있겠습니다.
정말 감사합니다!
네.
파이팅!",217
"저, 실례합니다만 혹시 지금 몇 시인지 알 수 있을까요?
네, 지금 오후 3시 15분 지나고 있습니다.
아, 그렇군요. 제 시계가 멈춰있었나 보네요.
그럴 수 있죠. 스마트폰으로 다시 확인해보세요.
네, 그래야겠어요. 친절하게 알려주셔서 감사합니다.
천만에요. 좋은 하루 보내세요.
네, 덕분에 약속 시간에 늦지 않겠네요.
다행이네요.
네.
좋습니다.",196
"박 과장님, 이번 프로젝트 정말 고생 많으셨습니다.
아닙니다. 팀원들이 모두 도와준 덕분이죠.
아니에요. 과장님의 리더십이 가장 빛났습니다.
좋게 봐주시니 몸 둘 바를 모르겠습니다.
정말 많이 배웠습니다. 앞으로도 잘 부탁드립니다.
저도 이 대리님 덕분에 정말 든든했습니다.
감사합니다. 오늘 저녁 회식 기대하겠습니다.
네, 이따 봅시다.
네!
좋아요.",197
"친구가 이번에 결혼하는데 선물을 뭘 해줘야 할까?
음, 보통은 실용적인 가전제품을 많이 하더라고.
그렇겠지? 혹시 추천해줄 만한 거 있어?
요즘에는 커피 머신이나 로봇 청소기가 인기래.
오, 좋은 생각이다. 그걸로 한번 알아봐야겠다.
응, 친구가 분명히 정말 좋아할 거야.
조언해줘서 정말 고마워. 큰 도움이 됐어.
별말씀을요.
네.
좋아.",190
"다음 주에 중요한 발표가 있어서 너무 떨리네요.
너무 걱정 마세요. 지금껏 잘 준비하셨잖아요.
그래도 많은 사람들 앞에 서면 머리가 하얘져요.
제가 듣는 역할이라도 하면서 연습 도와드릴까요?
와, 정말요? 그렇게 해주시면 너무 감사하죠.
그럼요. 오늘 퇴근 후에 잠깐 시간 어떠세요?
네, 너무 좋습니다! 정말 고마워요.
천만에요.
네.
이따 봐요.",195
"어제 새로 산 셔츠인데, 저한테 잘 어울리나요?
네, 너무 잘 어울리는데요? 색깔이 정말 예뻐요.
정말요? 다행이다. 괜히 샀나 걱정했거든요.
아니에요. 얼굴이 훨씬 더 화사해 보이는걸요.
그렇게 말씀해주시니 정말 기분이 좋네요.
정말이에요. 앞으로 자주 입고 다니세요.
네, 그래야겠어요. 고맙습니다!
천만에요.
네.
좋아요.",183
"이번 주말에 봉사활동을 한번 가볼까 생각 중이야.
와, 정말이야? 정말 좋은 생각을 하고 있구나.
응, 예전부터 한번 해보고 싶었는데 미루고 있었어.
어떤 봉사활동을 생각하고 있는데?
유기견 보호소에 가서 청소라도 도울까 해.
정말 대단하다. 나도 다음에는 꼭 같이 가고 싶네.
그래! 같이 가면 더 의미 있고 좋을 것 같아.
꼭 연락 줘!
응, 알았어.
좋아.",202
"팀장님, 제가 다음 주에 하루 휴가를 써도 될까요?
음, 그래요. 혹시 무슨 특별한 일이라도 있나요?
네, 부모님 결혼기념일이라 식사를 같이하고 싶어서요.
아, 그렇군요. 그건 당연히 다녀와야죠.
괜찮으시다면 금요일에 하루 사용하고 싶습니다.
알겠습니다. 시스템에 휴가 신청서 올려주세요.
네, 바로 처리하겠습니다. 정말 감사합니다!
천만에요.
네.
알겠습니다.",202
"요즘 체력이 너무 떨어진 것 같아서 운동을 해야겠어.
정말 좋은 생각이야. 어떤 운동을 하려고?
집 근처 헬스장에 등록해서 꾸준히 다녀볼까 해.
오, 꾸준히만 하면 정말 효과가 좋을 거야.
너도 같이 다니지 않을래? 혼자 하면 심심할 텐데.
그래, 좋아! 마침 나도 운동이 필요했어.
잘 됐다! 우리 오늘 당장 등록하러 갈까?
응, 좋아!
가자!
좋아.",197
"선배, 혹시 이 부분 코드가 왜 에러가 나는지 아세요?
어디 한번 볼까? 아, 이 부분은 세미콜론이 빠졌네.
아, 정말요? 이런 실수를 하다니 부끄럽네요.
아니야, 코딩하다 보면 누구나 하는 실수인걸.
그래도 선배 덕분에 금방 해결할 수 있었어요.
다행이네. 앞으로는 더 꼼꼼하게 확인해봐.
네, 명심하겠습니다. 정말 감사합니다!
천만에.
네.
좋아.",196
"새로 이사 온 집은 좀 어때? 마음에 들어?
응, 전에 살던 곳보다 훨씬 넓고 조용해서 좋아.
다행이다. 집들이는 언제쯤 할 생각이야?
음, 이번 주 주말쯤에 간단하게 하려고.
정말? 초대해 주면 당연히 가야지. 선물 사 갈게.
아니야, 그냥 편하게 몸만 와. 얼굴 보는 거지.
그래도 빈손으로 어떻게 가. 내가 맛있는 거 사 갈게.
고마워, 친구야.
별말씀을.
기대된다!",208
"과장님, 요청하신 시안 A, B 두 가지로 준비했습니다.
오, 벌써요? 어디 한번 봅시다. 정말 수고했네요.
보시고 편하게 의견 주시면 감사하겠습니다.
음, 저는 개인적으로 A안이 더 마음에 드네요.
그러신가요? 저도 A안을 메인으로 생각했습니다.
좋아요. 그럼 이걸로 조금 더 발전시켜 봅시다.
네, 알겠습니다. 바로 작업 시작하겠습니다.
수고해줘요.
네!
좋습니다.",206
"오늘 점심은 구내식당 말고 밖에 나가서 먹을까요?
네, 좋아요! 혹시 가고 싶은 곳 있으세요?
어제 새로 생긴 돈가스 가게가 있는데 어떠세요?
와, 좋아요! 저 돈가스 정말 좋아하거든요.
그럼 우리 잠시 후에 바로 출발하도록 하죠.
네, 알겠습니다. 준비하고 있겠습니다.
네, 이따가 봐요.
네, 과장님.
네.
좋아요.",178
"이번 프로젝트가 성공적으로 끝나서 정말 다행이에요.
맞아요. 중간에 어려운 점이 많았는데 말이에요.
모두가 각자 위치에서 최선을 다해준 덕분입니다.
네, 우리 팀의 팀워크가 정말 빛났던 것 같아요.
이번 일을 계기로 서로 더 긍정적인 자극이 되었어요.
네, 맞습니다. 다음 프로젝트도 기대가 됩니다.
다들 정말 고생 많으셨습니다. 감사합니다.
수고하셨습니다.
네.
좋아요.",208
"혹시 괜찮으시다면, 주말에 시간 좀 내어줄 수 있나요?
네, 괜찮아요. 무슨 특별한 일이라도 있으세요?
다름이 아니라, 제가 컴퓨터 조립을 좀 도와주셨으면 해서요.
아, 그럼요! 제가 그런 건 정말 잘 도와드릴 수 있죠.
와, 정말요? 그렇게 말씀해주시니 너무 감사하네요.
별말씀을요. 제가 시간 맞춰서 댁으로 갈게요.
네, 정말 고맙습니다. 제가 식사 대접할게요.
아닙니다.
네.
좋아요.",218
"저기, 혹시 이 근처에 약국이 어디에 있는지 아세요?
네, 저기 앞에 보이는 사거리에서 오른쪽으로 도세요.
아, 오른쪽이요! 거기서부터는 얼마나 가야 하나요?
골목으로 들어가시면 바로 노란색 간판이 보일 거예요.
자세하게 설명해주셔서 정말 감사합니다.
천만에요. 몸이 안 좋으신가 봐요.
네, 두통이 좀 있어서요. 덕분에 잘 찾겠네요.
다행이네요.
네.
감사합니다.",204
"부장님, 지난번 지시하신 업무 계획서 초안입니다.
그래요, 어디 한번 봅시다. 잠시만요.
네, 천천히 보시고 말씀해주십시오.
음, 전체적인 흐름은 좋은데 내용이 좀 빈약하네요.
아, 죄송합니다. 어떤 부분을 보강하면 좋을까요?
관련 시장 데이터와 경쟁사 분석을 추가해주세요.
네, 알겠습니다. 바로 수정해서 다시 보고드리겠습니다.
네, 오늘까지 부탁해요.
네, 부장님.
수고해요.",212
"정말 죄송한데, 제가 급한 일이 생겨서 먼저 가봐도 될까요?
네? 괜찮아요. 무슨 급한 일인데요?
집에 갑자기 가스 점검을 나온다고 연락이 와서요.
아, 그런 거면 당연히 가봐야죠! 어서 가보세요.
정말 감사합니다. 남은 업무는 내일 일찍 와서 처리할게요.
괜찮아요. 신경 쓰지 말고 어서 들어가 보세요.
네, 정말 죄",178
"오늘따라 유난히 하늘이 맑고 예쁜 것 같지 않아요?
맞아요. 미세먼지도 없고 정말 깨끗하네요.
이런 날에는 카메라를 들고 출사를 가야 하는데 말이죠.
와, 사진 찍는 것이 취미이신가 보네요. 멋져요.
아니에요. 그냥 풍경 사진 찍는 걸 좋아할 뿐이에요.
나중에 저에게도 사진 잘 찍는 법 좀 알려주세요.
그럼요! 언제든지 편하게 물어보세요.
네, 감사합니다!
네.
좋아요.",208
"김 대리, 아까 회의 때 낸 아이디어 정말 좋았어요.
아, 정말요? 좋게 들어주셔서 정말 감사합니다.
아니에요. 제가 미처 생각하지 못했던 부분이었어요.
과장님께서 격려해주신 덕분에 용기를 낼 수 있었어요.
앞으로도 그렇게 좋은 의견 있으면 편하게 말해줘요.
네, 알겠습니다. 더 열심히 고민하겠습니다.
기대하고 있을게요. 정말 훌륭했어요.
감사합니다!
네.
좋습니다.",206
"혹시 집에서 식물을 키우고 계신가요?
네, 작은 다육이랑 허브 몇 개를 키우고 있어요.
와, 그러시군요. 저도 한번 키워보고 싶은데 어렵나요?
아니요, 다육이는 물만 잘 줘도 쑥쑥 커서 쉬워요.
그렇군요. 저도 이번 기회에 한번 도전해봐야겠네요.
네, 분명 좋은 반려 식물이 되어줄 거예요.
좋은 정보 알려주셔서 정말 고맙습니다.
별말씀을요.
네.
좋아요.",199
"실례지만, 이 근처에 있는 은행 중에 ATM 기기가 어디 있나요?
아, 저기 편의점 안에도 한 대 있고, 은행도 바로 옆에 있어요.
아, 정말요? 지금 바로 이용할 수 있는 곳이 필요했거든요.
네, 둘 다 24시간 운영이라서 편하게 이용하시면 될 거예요.
덕분에 헤매지 않고 바로 찾았네요. 정말 감사합니다.
천만에요. 도움이 되셨다니 다행이네요.
네, 정말 고맙습니다. 좋은 하루 보내세요.
네, 그러세요.
네.
알겠습니다.",238
"이번 프로젝트를 무사히 마친 기념으로 회식 한번 하죠.
와, 정말요? 부장님께서 직접 사주시는 건가요?
그럼요! 다들 그동안 고생이 정말 많았잖아요.
감사합니다! 부장님 덕분에 정말 힘이 납니다.
먹고 싶은 메뉴 있으면 뭐든지 편하게 말해봐요.
저는 오랜만에 다 같이 소고기 먹고 싶습니다.
좋아요! 오늘 저녁은 소고기 파티입니다.
와! 감사합니다!
네!
기대됩니다.",205
"정말 미안한데, 혹시 내일까지 만 원만 빌려줄 수 있어?
응? 무슨 일 있어? 돈이 급하게 필요한 거야?
응, 내가 오늘 꼭 내야 할 공과금이 있는데 깜빡했어.
아, 그랬구나. 알았어, 걱정하지 마. 바로 보내줄게.
정말 고마워. 내일 점심시간에 바로 갚을게.
아니야, 괜찮아. 신경 쓰지 말고 편할 때 줘.
아니야, 약속은 꼭 지켜야지. 내일 바로 줄게.
알았어, 그럼.
정말 고마워!
응, 괜찮아.",224
"주말에 친구 결혼식 사회를 보게 되었는데 너무 떨려.
와, 정말? 그래도 친구가 믿으니까 부탁했겠지.
그렇긴 한데, 많은 사람들 앞에서 말할 생각을 하니 아찔해.
괜찮아, 너무 잘하려고 생각하지 말고 편하게 해.
응, 조언 고마워. 그래도 연습은 많이 해야겠지?
내가 하객이라고 생각하고 한번 연습해볼래?
정말? 그렇게 해주면 나야 너무 고맙지!
걱정하지 마.
응, 고마워.
파이팅!",214
"이 팀장님, 차주 월요일 오전에 잠깐 뵐 수 있을까요?
네, 박 과장님. 괜찮습니다. 무슨 일이신가요?
다름이 아니라, 신규 프로젝트 관련해서 드릴 말씀이 있어서요.
알겠습니다. 그럼 회의실에서 10시쯤에 뵙도록 하죠.
네, 좋습니다. 그때까지 자료 잘 준비해 가겠습니다.
그래요. 그럼 다음 주에 이야기 나누도록 하죠.
네, 알겠습니다. 좋은 주말 보내십시오.
네, 과장님도요.
네.
감사합니다.",222
"요즘 들어 목이랑 어깨가 너무 뻐근하고 아픈 것 같아.
맞아요. 하루 종일 컴퓨터 앞에 앉아 있으니 어쩔 수 없나 봐요.
이럴 때일수록 틈틈이 스트레칭을 해줘야 한대요.
네, 알면서도 막상 일하다 보면 자꾸 잊어버리게 돼요.
우리 시간을 정해두고 5분씩이라도 같이 해볼까요?
와, 그거 정말 좋은 생각인데요? 지금 바로 할까요?
네, 좋아요! 다 같이 잠시 일어나서 몸 좀 풀죠.
네, 좋습니다!
네.
좋아요.",229
"제가 새로 산 향수인데, 향이 어떤 것 같아요?
음, 잠시만요. 와, 정말 좋은 향기가 나네요.
정말요? 너무 진하지는 않을까 걱정했거든요.
아니에요. 은은하면서도 상쾌한 느낌이라 딱 좋아요.
다행이다. 그렇게 말씀해주시니 안심이 되네요.
어떤 제품인지 저도 나중에 한번 찾아봐야겠어요.
제가 나중에 제품 이름 알려드릴게요.
네, 고마워요!
네.
좋습니다.",199
"혹시 괜찮으시면, 제 발표 자료 한번만 봐주실 수 있나요?
네, 그럼요. 어떤 부분에 대해 피드백이 필요하세요?
전체적인 내용 흐름이랑 오탈자 위주로 봐주셨으면 해요.
알겠습니다. 지금 바로 확인해보고 말씀드릴게요.
정말 감사합니다. 덕분에 훨씬 더 든든하네요.
천만에요. 금방 볼 테니 잠시만 기다려주세요.
네, 천천히 보셔도 괜찮습니다. 고맙습니다.
별말씀을요.
네.
좋습니다.",213
